ID,LRT,p-value,K,Number of Sites,Condition,Significance,Group
OG11337,1.427431120690017,0.2321841389166331,0.3480990413934037,733,Relaxation,Insignificant,Terrestrial
OG11376,0.008015688817977207,0.9286604113340379,1.013316793972729,747,Intensification,Insignificant,Remaining
OG11379,15.9743354772254,6.420703644871573e-5,21.00141661975953,810,Intensification,Significant,Remaining
OG11390,23.50091102165334,1.248546324994493e-6,13.52941529109187,733,Intensification,Significant,Aipysurus laevis
OG11434,0.6474707420338746,0.4210184093458204,1.319431407062605,761,Intensification,Insignificant,Remaining
OG11453,0.8362838188786554,0.3604617679971197,0.7940374635615189,730,Relaxation,Insignificant,Terrestrial
OG11457,15.19950257019082,9.672889710821142e-5,9.58506809188711,720,Intensification,Significant,Aipysurus laevis
OG11460,1.139318516456115,0.2857963745284944,1.475939455661426,709,Intensification,Insignificant,Remaining
OG11472,4.218233211491679,0.03999178191151687,0.3459778556385835,811,Relaxation,Insignificant,Terrestrial
OG1149,23.56772615977752,1.205933159775796e-6,1.524982070895331,2017,Intensification,Significant,Remaining
OG11504,5.784417072834003,0.01616885894403353,0.2452756075829385,749,Relaxation,Insignificant,Remaining
OG11507,93.03801066523101,0,49.99999999999989,759,Intensification,Significant,Aipysurus laevis
OG11508,7.570603381242108,0.005932791979610608,1.659616641080147,723,Intensification,Insignificant,Remaining
OG11509,8.66350550399875,0.003246461494495589,7.785226470167276,1085,Intensification,Insignificant,Aipysurus laevis
OG11511,0.537718703716564,0.4633797103587607,0.6454534210545962,722,Relaxation,Insignificant,Remaining
OG11512,1.308562330004861,0.2526551184347686,20.05236493905934,728,Intensification,Insignificant,Remaining
OG11516,0.01352535840214841,0.9074159154366884,1.119109652100303,729,Intensification,Insignificant,Remaining
OG11559,8.753561847472156,0.003089979503514639,2.300343804552309,729,Intensification,Insignificant,Remaining
OG11591,0.3369775040191598,0.5615790813175994,0.8129193874782678,715,Relaxation,Insignificant,Remaining
OG11606,-2.493834472261369e-8,1,1.167723461152975,718,Intensification,Insignificant,Remaining
OG11612,16.60270385422973,4.608527319449607e-5,49.99999999999989,715,Intensification,Significant,Aipysurus laevis
OG11625,3.175377452183966,0.07475593746225506,18.41930260005333,717,Intensification,Insignificant,Remaining
OG11629,1.380817400940941,0.2399619633594123,0.3671700001201593,708,Relaxation,Insignificant,Remaining
OG11641,86.76302586558268,0,27.48374516918613,726,Intensification,Significant,Aipysurus laevis
